Column1,truth_id,detection_id,stamp_sec,frame_nb,occlusion_severity,merged_or_truncated,truth_width,truth_height,det_width,det_height,truth_box,det_box
3,508,508,1628506192,0,6.66667E+15,truncated,2.96875E+16,5.5E+15,1.35417E+15,5.5E+16,"[0.05, 0.105, 0.7192708333333333, 0.7489583333333333]","[0.05000000074505806, 0.10500000044703484, 0.7197916666045785, 0.7333333333954215, 0.0, 0.0]"
7,404,404,1628506192,0,1.30036E+16,merged,4.27083E+15,8.33333E+15,4.27083E+15,1.08333E+16,"[0.10166666666666667, 0.15083333333333335, 0.4578125, 0.4895833333333333]","[0.023333333432674408, 0.1316666677594185, 0.42187500186264515, 0.46458333544433117, 0.0, 0.0]"
22,404,404,1628506192,1,1.51639E+16,merged,4.375E+15,8.41667E+15,4.375E+15,1.08333E+16,"[0.10166666666666667, 0.15166666666666667, 0.45677083333333335, 0.48854166666666665]","[0.024166665971279144, 0.13250000029802322, 0.4208333436399698, 0.46458334289491177, 0.0, 0.0]"
23,508,508,1628506192,1,7.01754E+15,truncated,2.96875E+16,5.5E+15,1.35417E+15,5.5E+16,"[0.0475, 0.125, 0.728125, 0.7661458333333333]","[0.05000000074505806, 0.10500000044703484, 0.7197916666045785, 0.7333333333954215]"
35,404,404,1628506192,2,1.47622E+15,merged,4.42708E+15,8.41667E+15,4.42708E+14,1.09167E+16,"[0.1025, 0.15166666666666667, 0.4557291666666667, 0.48802083333333335]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323, 0.0, 0.0]"
49,404,404,1628506192,3,1.61749E+16,merged,4.42708E+15,8.41667E+15,4.42708E+14,1.09167E+16,"[0.10166666666666667, 0.1525, 0.4552083333333333, 0.4864583333333333]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323, 0.0, 0.0]"
60,404,404,1628506192,4,1.85714E+16,merged,4.63542E+15,8.5E+15,4.42708E+14,1.09167E+16,"[0.10083333333333333, 0.15333333333333332, 0.4546875, 0.4859375]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
65,508,508,1628506192,5,6.55172E+15,truncated,3.02083E+15,5.33333E+15,1.45833E+16,5.33333E+14,"[0.04833333333333333, 0.10166666666666667, 0.71875, 0.7489583333333333]","[0.04833333566784859, 0.10166667029261589, 0.7187500079162419, 0.7333333413116634, 0.0, 0.0]"
74,404,404,1628506192,5,1.94086E+16,merged,4.63542E+15,8.58333E+15,4.42708E+14,1.09167E+16,"[0.1025, 0.15416666666666667, 0.45416666666666666, 0.48541666666666666]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
80,508,508,1628506192,6,6E+15,truncated,2.60417E+15,5.41667E+15,1.45833E+16,5.33333E+14,"[0.0475, 0.10166666666666667, 0.7182291666666667, 0.7442708333333333]","[0.04833333566784859, 0.10166667029261589, 0.7187500079162419, 0.7333333413116634]"
85,404,404,1628506192,6,1.92818E+15,merged,4.63542E+15,8.66667E+15,4.42708E+14,1.09167E+16,"[0.1025, 0.155, 0.453125, 0.48489583333333336]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
92,508,508,1628506192,7,6.66667E+15,truncated,3125,5.41667E+15,1.45833E+16,5.33333E+14,"[0.04416666666666667, 0.1225, 0.7286458333333333, 0.7651041666666667]","[0.04833333566784859, 0.10166667029261589, 0.7187500079162419, 0.7333333413116634]"
93,404,404,1628506192,7,1.80857E+15,merged,4.63542E+16,8.66667E+15,4.42708E+14,1.09167E+16,"[0.105, 0.15583333333333332, 0.45260416666666664, 0.48489583333333336]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
106,404,404,1628506192,8,1.91257E+16,merged,46875,875,4.42708E+14,1.09167E+16,"[0.10666666666666667, 0.15666666666666668, 0.45208333333333334, 0.48385416666666664]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
110,517,517,1628506193,9,1.42857E+15,merged,2.1875E+16,3.08333E+16,2.1875E+15,3.08333E+16,"[0.06666666666666667, 0.0975, 0.6828125, 0.7046875]","[0.06666667014360428, 0.09750000387430191, 0.6828125240281224, 0.7046875236555934, 0.0, 0.0]"
118,404,404,1628506193,9,2.06089E+16,merged,4.58333E+15,875,4.42708E+14,1.09167E+16,"[0.10583333333333333, 0.15666666666666668, 0.4505208333333333, 0.48333333333333334]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
131,404,404,1628506193,10,2.12798E+16,merged,4.58333E+15,8.83333E+15,4.42708E+14,1.09167E+16,"[0.10416666666666667, 0.1575, 0.45, 0.4828125]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
146,404,404,1628506193,11,2.19231E+16,merged,46875,8.91667E+15,4.42708E+14,1.09167E+16,"[0.10583333333333333, 0.16, 0.4484375, 0.4817708333333333]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323]"
