epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
5,1.0583513975143433,0.6661260724067688,1.1404621601104736,0.6306060552597046
6,1.026958703994751,0.67361980676651,1.1973967552185059,0.5997650027275085
7,1.0041362047195435,0.6754360198974609,0.9865025281906128,0.6621368527412415
8,0.9864271283149719,0.6800937652587891,1.1186668872833252,0.6339446902275085
9,0.9730156660079956,0.6823615431785583,1.167223572731018,0.6083648800849915
10,0.9487701654434204,0.6872594952583313,1.0126491785049438,0.670825183391571
11,0.9362232685089111,0.6911134123802185,0.9086843729019165,0.6971648931503296
12,0.9239161014556885,0.6931489109992981,0.9597190618515015,0.6629486083984375
13,0.9098971486091614,0.6971908807754517,0.9465743899345398,0.6737915277481079
14,0.8976114988327026,0.6992567181587219,0.8672459721565247,0.7296081781387329
15,0.8848249316215515,0.7019339203834534,1.0394761562347412,0.6667327880859375
16,0.8746021389961243,0.704089343547821,0.8015058636665344,0.7187103033065796
17,0.8566275238990784,0.708340048789978,0.8669793009757996,0.7323272824287415
18,0.8494396805763245,0.7088532447814941,0.8817222714424133,0.6934417486190796
19,0.8351587653160095,0.7132605314254761,1.0423099994659424,0.6670196652412415
20,0.8276984691619873,0.7139360308647156,0.8628942370414734,0.701568603515625
21,0.8155058026313782,0.7182810306549072,1.0180855989456177,0.7080932855606079
22,0.8118492960929871,0.719723105430603,0.9754698872566223,0.6683288812637329
23,0.7967682480812073,0.7246519923210144,0.9014574885368347,0.6974029541015625
24,0.7908644080162048,0.7256588935852051,0.9210947751998901,0.6876983642578125
25,0.7778463363647461,0.7291025519371033,0.9653486013412476,0.667938232421875
26,0.7745792865753174,0.7306957244873047,0.9754593968391418,0.6710845828056335
27,0.7564578652381897,0.7355875372886658,0.8185935020446777,0.7030426263809204
28,0.7512120604515076,0.7375219464302063,0.873142421245575,0.7015716433525085
29,0.7494164705276489,0.7382063269615173,1.0731439590454102,0.656201183795929
30,0.7329714298248291,0.7429735064506531,1.0171165466308594,0.6566222906112671
31,0.7344642877578735,0.7424231767654419,0.9265462756156921,0.668042004108429
32,0.722993791103363,0.7460603713989258,0.9625356793403625,0.7048675417900085
33,0.7154272794723511,0.7478826642036438,0.9207504987716675,0.6693267822265625
34,0.7078424692153931,0.7514630556106567,0.9647165536880493,0.7002471685409546
35,0.6992214322090149,0.7539958953857422,0.9126808047294617,0.7134460210800171
36,0.6881272792816162,0.7577660083770752,0.8810655474662781,0.6913665533065796
37,0.6842910647392273,0.7580943703651428,0.9218152165412903,0.7007659673690796
38,0.6764987111091614,0.7617472410202026,0.7934010624885559,0.735760509967804
39,0.6765291094779968,0.7606549263000488,0.8599340319633484,0.71612548828125
40,0.6660959124565125,0.7646467089653015,1.0785032510757446,0.6670440435409546
41,0.6624083518981934,0.7657164335250854,0.9615503549575806,0.6808837652206421
42,0.649528443813324,0.7696550488471985,0.9983755350112915,0.690142810344696
43,0.6461301445960999,0.7708941698074341,0.8307173848152161,0.7055450677871704
44,0.6360347270965576,0.7736738920211792,0.9636960029602051,0.6710113286972046
45,0.6380573511123657,0.7739192843437195,0.7710903882980347,0.7488647699356079
46,0.6305894255638123,0.7757526636123657,0.9918130040168762,0.7059966921806335
47,0.6160287261009216,0.7814280390739441,1.042959213256836,0.6723785400390625
48,0.6250203251838684,0.7788668870925903,0.8334817886352539,0.736956775188446
49,0.6104530692100525,0.7824327945709229,0.9443100690841675,0.702166736125946
50,0.6155973672866821,0.7814779877662659,0.8850115537643433,0.7246001958847046
51,0.6006868481636047,0.7860425710678101,1.0350620746612549,0.6792541742324829
52,0.5923320055007935,0.7887729406356812,0.9820669293403625,0.666979968547821
53,0.5857947468757629,0.7907159328460693,0.9352165460586548,0.7254180908203125
54,0.590912938117981,0.7896102666854858,1.0737711191177368,0.6738373041152954
55,0.5879133939743042,0.7900118231773376,0.8714982271194458,0.7071624994277954
56,0.5764826536178589,0.7938440442085266,1.016473412513733,0.6792510747909546
57,0.5739001035690308,0.7952513694763184,1.1394262313842773,0.703747570514679
58,0.5726702809333801,0.7952638268470764,0.9069851040840149,0.698626697063446
59,0.5633130669593811,0.798194169998169,0.9057193994522095,0.701733410358429
60,0.5664535760879517,0.7975370287895203,0.9868955612182617,0.6897918581962585
61,0.5568817257881165,0.8008572459220886,0.9296099543571472,0.7190093994140625
62,0.556908130645752,0.8005130290985107,1.1222975254058838,0.6873779296875
63,0.5433561205863953,0.8056585788726807,1.0158811807632446,0.685528576374054
64,0.5497655272483826,0.8035728931427002,1.0162407159805298,0.7020599246025085
65,0.542629599571228,0.8059187531471252,0.8377121686935425,0.730883777141571
66,0.5361047983169556,0.8088263869285583,1.031209945678711,0.6996124386787415
67,0.5270583033561707,0.8109583258628845,0.960220992565155,0.7066711187362671
68,0.527448296546936,0.8114304542541504,0.9577873349189758,0.6977569460868835
69,0.5252943634986877,0.8115891218185425,0.9178310632705688,0.7162567377090454
70,0.5295886993408203,0.8102379441261292,0.9298906326293945,0.7077544927597046
71,0.5239118933677673,0.8118016719818115,1.062837839126587,0.6768768429756165
72,0.5105785131454468,0.8169013261795044,0.9887428283691406,0.6972320675849915
73,0.5139598846435547,0.8159447908401489,0.9512613415718079,0.7043975591659546
74,0.5104542970657349,0.8171389102935791,1.049758791923523,0.690112292766571
75,0.5001621842384338,0.8209439516067505,1.0343679189682007,0.6714843511581421
76,0.5038564205169678,0.8198996782302856,0.9600589871406555,0.698638916015625
77,0.4983617067337036,0.8211687207221985,1.1579029560089111,0.68255615234375
78,0.49310532212257385,0.8229911923408508,1.0956300497055054,0.697540283203125
79,0.5041390657424927,0.8192327618598938,1.1920206546783447,0.668658435344696
80,0.4866066575050354,0.824678897857666,1.0935757160186768,0.684222400188446
81,0.48443078994750977,0.8259164690971375,1.0438745021820068,0.7026031613349915
82,0.4886995553970337,0.8246910572052002,0.9591859579086304,0.6928253173828125
83,0.4820486903190613,0.8267665505409241,0.8415622711181641,0.7271148562431335
84,0.4776548147201538,0.8282878398895264,1.1339881420135498,0.7068420648574829
85,0.48038193583488464,0.8276612162590027,1.170506238937378,0.6784942746162415
86,0.4813888967037201,0.8271418213844299,1.0146530866622925,0.6933838129043579
87,0.4805288314819336,0.8272401690483093,0.9917595982551575,0.6646484136581421
88,0.4761303663253784,0.8288833498954773,1.007196068763733,0.690533459186554
