,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.4579120874404907,0.5384603142738342,1.3904426097869873,0.5640411376953125
1,1.2202380895614624,0.6206719875335693,1.2135511636734009,0.609118640422821
2,1.142634391784668,0.643929123878479,1.0967429876327515,0.6373046636581421
3,1.0960371494293213,0.6585792303085327,0.9799376726150513,0.6810089349746704
4,1.0574944019317627,0.6648603081703186,1.1852338314056396,0.6319824457168579
5,1.0245414972305298,0.6718586087226868,1.13567316532135,0.627062976360321
6,0.9979345798492432,0.6783393621444702,1.1387263536453247,0.6015289425849915
7,0.9751801490783691,0.6815475225448608,0.9478496313095093,0.6854950189590454
8,0.9565962553024292,0.6854534149169922,1.0847333669662476,0.630480945110321
9,0.9411016702651978,0.6890458464622498,1.1907732486724854,0.5997772216796875
10,0.9181059002876282,0.6926555633544922,0.9847267866134644,0.6633026003837585
11,0.9011348485946655,0.6972057223320007,0.8585704565048218,0.7049957513809204
12,0.8923271894454956,0.7000768780708313,0.9058408737182617,0.6775543093681335
13,0.8802134990692139,0.7032620310783386,0.9454059600830078,0.6738739013671875
14,0.858432412147522,0.707147479057312,0.8593364953994751,0.7317596673965454
15,0.8500702977180481,0.7093802094459534,1.023735761642456,0.6699463129043579
16,0.8399032354354858,0.7115454077720642,0.765996515750885,0.7335235476493835
17,0.8210496306419373,0.7161045074462891,0.8185330629348755,0.7400604486465454
18,0.808546781539917,0.7192699909210205,0.8830205798149109,0.691906750202179
19,0.7986878156661987,0.7229092717170715,1.0236903429031372,0.6785888671875
20,0.7893221378326416,0.7248285412788391,0.8346729278564453,0.7009246945381165
21,0.7730631232261658,0.7290734052658081,0.9881946444511414,0.7163055539131165
22,0.7661008834838867,0.7325782179832458,0.9864476323127747,0.6712982058525085
23,0.7511892914772034,0.7364230155944824,0.8913992643356323,0.7102996706962585
24,0.744181215763092,0.7387871146202087,0.9757643938064575,0.6785125732421875
25,0.7300847768783569,0.7432876825332642,1.0150716304779053,0.6603180170059204
26,0.723609209060669,0.7452241778373718,0.9491187334060669,0.6768432855606079
27,0.715073823928833,0.7482923865318298,0.7449649572372437,0.729278564453125
28,0.7051626443862915,0.7506110668182373,0.9484933614730835,0.6931854486465454
29,0.6957516074180603,0.7538580298423767,1.051658034324646,0.6536834836006165
30,0.6892624497413635,0.7553361654281616,0.9176157116889954,0.6772674322128296
31,0.6767522692680359,0.7601908445358276,0.9878767728805542,0.664501965045929
32,0.6672641038894653,0.7630141973495483,0.9508441090583801,0.694323718547821
