epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.4596161842346191,0.5376356244087219,1.3767820596694946,0.5717498660087585
1,1.2241718769073486,0.620193600654602,1.202683448791504,0.6113067865371704
2,1.1442409753799438,0.64359050989151,1.0958621501922607,0.6407440304756165
3,1.0913108587265015,0.6597340703010559,0.9792680740356445,0.6901885867118835
4,1.0513135194778442,0.6665756106376648,1.1794935464859009,0.636065661907196
5,1.0191811323165894,0.6737412214279175,1.1234725713729858,0.624908447265625
6,0.9914759397506714,0.6806427836418152,1.1342837810516357,0.6151336431503296
7,0.9690728783607483,0.6825387477874756,0.9552096128463745,0.6711395382881165
8,0.9470238089561462,0.6884934306144714,1.0863529443740845,0.62725830078125
9,0.9309048652648926,0.6905410885810852,1.1726453304290771,0.6071075201034546
10,0.9142191410064697,0.6944647431373596,0.9666579961776733,0.6685516238212585
11,0.8933398723602295,0.699541449546814,0.8543232679367065,0.7062408328056335
12,0.8816214203834534,0.7016057372093201,0.9107305407524109,0.6736053228378296
13,0.8709816336631775,0.7042568922042847,0.9501043558120728,0.6729339361190796
14,0.8511208295822144,0.7092810273170471,0.852192223072052,0.7313690185546875
15,0.839551568031311,0.712231457233429,1.0132663249969482,0.665728747844696
16,0.8284042477607727,0.7151865363121033,0.7627570629119873,0.7338714599609375
17,0.8123216032981873,0.7188500761985779,0.7948095798492432,0.7490264773368835
18,0.7968086004257202,0.7232899069786072,0.857688307762146,0.7032318115234375
19,0.7877680063247681,0.7255501747131348,1.0017653703689575,0.672772228717804
20,0.7790675163269043,0.7286587953567505,0.8275889158248901,0.7121826410293579
21,0.7673771381378174,0.7317741513252258,0.9974163770675659,0.7147613763809204
22,0.7530083656311035,0.7360429167747498,0.9200559854507446,0.6911987066268921
23,0.7426773309707642,0.7392069697380066,0.8786859512329102,0.7086517214775085
24,0.7365311980247498,0.7412422895431519,0.9442473649978638,0.6787384152412415
25,0.7229444980621338,0.7459937334060669,0.9896469116210938,0.6770538091659546
26,0.7158412337303162,0.7475197315216064,0.9660886526107788,0.6845733523368835
27,0.7035515308380127,0.7502443194389343,0.7510315775871277,0.7213531732559204
28,0.6943713426589966,0.754165768623352,0.9600405693054199,0.691455066204071
29,0.6865419745445251,0.7563393115997314,1.0848145484924316,0.6656219363212585
30,0.6777161955833435,0.7584198713302612,0.9385288953781128,0.6681365966796875
31,0.666286826133728,0.7629714012145996,0.998638927936554,0.6580597162246704
