Column1,truth_id,detection_id,stamp_sec,frame_nb,occlusion_severity,merged_or_truncated,truth_width,truth_height,det_width,det_height,truth_box,det_box
6,15,15,1628506171,1,4.42308E+15,merged,2.03125E+16,35,2.03125E+15,3.58333E+15,"[0.04083333333333333, 0.07583333333333334, 0.55625, 0.5765625]","[0.040833333507180214, 0.07666666619479656, 0.5567708257585764, 0.5770833250135183, 0.0, 0.0]"
16,15,15,1628506171,2,5E+16,merged,2.1875E+16,3.58333E+16,2.13542E+15,3.66667E+16,"[0.04, 0.07583333333333334, 0.5552083333333333, 0.5770833333333333]","[0.04000000096857548, 0.07666666619479656, 0.5557291666045785, 0.5770833333954215, 0.0, 0.0]"
50,15,15,1628506172,6,3.31034E+16,merged,2.1875E+16,3.33333E+15,2.1875E+15,4.16667E+14,"[0.03833333333333333, 0.07166666666666667, 0.5567708333333333, 0.5786458333333333]","[0.03916666470468044, 0.08083333261311054, 0.5520833255723119, 0.5739583251997828, 0.0, 0.0]"
58,15,15,1628506172,7,3.14483E+16,merged,2.03125E+16,3.41667E+15,2.03125E+15,4.16667E+14,"[0.0375, 0.07166666666666667, 0.5572916666666666, 0.5776041666666667]","[0.038333332166075706, 0.0800000000745058, 0.5526041630655527, 0.5729166623204947, 0.0, 0.0]"
71,15,15,1628506172,10,5.81538E+15,merged,1.71875E+16,3.66667E+15,1.71875E+15,3.66667E+16,"[0.03833333333333333, 0.075, 0.5541666666666667, 0.5713541666666667]","[0.038333335891366005, 0.07500000111758709, 0.5546874878928065, 0.5718749882653356, 0.0, 0.0]"
75,15,15,1628506172,11,3.44615E+16,merged,1.40625E+16,3.41667E+15,1.92708E+15,4.16667E+14,"[0.0375, 0.07166666666666667, 0.5567708333333333, 0.5708333333333333]","[0.038333332166075706, 0.0800000000745058, 0.5515625197440386, 0.5708333533257246, 0.0, 0.0]"
78,15,15,1628506172,12,1.48148E+16,merged,1.875E+16,3.91667E+15,1.875E+15,4E+15,"[0.03833333333333333, 0.0775, 0.5515625, 0.5703125]","[0.038333334028720856, 0.07833333313465118, 0.5515625234693289, 0.5703125242143869, 0.0, 0.0]"
